CSV_TRACK,0,-1.159,0.888,0.383,-0.468,0.359,0.155,0.90,53.57,10.04,0.002,1
CSV_TRACK,0,-1.213,0.918,0.404,-0.549,0.295,0.208,0.91,0.00,0.00,0.000,1
CSV_TRACK,0,-1.283,0.889,0.448,-0.628,0.000,0.328,0.92,0.00,0.00,0.000,1
CSV_TRACK,0,-1.293,0.966,0.421,-0.457,0.274,0.122,0.93,0.00,0.00,0.000,1
CSV_TRACK,0,-1.317,1.003,0.442,-0.416,0.325,0.153,0.93,0.00,0.00,0.000,1
CSV_TRACK,0,-1.349,1.071,0.423,-0.458,0.482,0.085,0.94,0.00,0.00,0.000,1
CSV_TRACK,0,-1.385,1.133,0.407,-0.458,0.564,0.021,0.95,0.00,0.00,0.000,1
CSV_TRACK,0,-1.409,1.242,0.378,-0.420,0.762,-0.073,0.95,0.00,0.00,0.000,1
CSV_TRACK,1,-1.217,1.168,-0.574,-0.658,0.631,-0.310,0.90,0.00,0.00,0.000,1
CSV_TRACK,0,-1.401,1.349,0.435,-0.278,0.903,0.096,0.92,0.00,0.00,0.000,1
CSV_TRACK,1,-1.257,1.199,-0.592,-0.388,0.303,-0.175,0.89,0.00,0.00,0.000,1
CSV_TRACK,0,-1.362,1.380,0.459,-0.030,0.724,0.126,0.87,0.00,0.00,0.000,1
CSV_TRACK,1,-1.273,1.249,-0.604,-0.262,0.392,-0.140,0.86,0.00,0.00,0.000,1
CSV_TRACK,0,-1.317,1.534,0.534,0.151,0.962,0.296,0.83,0.00,0.00,0.000,1
CSV_TRACK,1,-1.297,1.311,-0.628,-0.254,0.477,-0.175,0.84,0.00,0.00,0.000,1
CSV_TRACK,0,-1.326,1.582,0.610,0.149,0.885,0.433,0.83,0.00,0.00,0.000,1
CSV_TRACK,1,-1.309,1.372,-0.647,-0.217,0.519,-0.183,0.83,53.57,11.72,0.003,1
CSV_TRACK,0,-1.335,1.616,0.660,0.141,0.796,0.484,0.83,0.00,0.00,0.000,1
CSV_TRACK,1,-1.319,1.426,-0.665,-0.194,0.539,-0.187,0.82,0.00,0.00,0.000,1
CSV_TRACK,0,-1.249,1.724,0.683,0.339,0.891,0.468,0.81,0.00,0.00,0.000,1
CSV_TRACK,1,-1.211,1.563,-0.647,0.117,0.690,-0.092,0.82,0.00,0.00,0.000,1
CSV_TRACK,0,-1.095,1.841,0.700,0.641,0.990,0.438,0.80,0.00,0.00,0.000,1
CSV_TRACK,1,-1.175,1.639,-0.665,0.173,0.768,-0.121,0.82,0.00,0.00,0.000,1
CSV_TRACK,0,-1.015,1.933,0.725,0.743,1.032,0.436,0.80,0.00,0.00,0.000,0
CSV_TRACK,1,-1.009,1.757,-0.632,0.520,0.950,-0.035,0.84,0.00,0.00,0.000,1
CSV_TRACK,0,-0.936,2.039,0.770,0.829,1.077,0.463,0.80,0.00,0.00,0.000,1
CSV_TRACK,1,-0.965,1.812,-0.646,0.542,0.880,-0.057,0.83,0.00,0.00,0.000,1
CSV_TRACK,0,-0.931,2.067,0.740,0.688,0.944,0.331,0.77,0.00,0.00,0.000,1
CSV_TRACK,1,-0.932,1.882,-0.668,0.534,0.872,-0.096,0.82,0.00,0.00,0.000,0
CSV_TRACK,0,-0.954,2.120,0.589,0.521,0.875,0.019,0.74,0.00,0.00,0.000,1
CSV_TRACK,1,-0.765,2.045,-0.571,0.858,1.139,0.165,0.80,0.00,0.00,0.000,0
CSV_TRACK,0,-0.874,2.111,0.648,0.539,0.712,0.079,0.74,0.00,0.00,0.000,1
CSV_TRACK,1,-0.740,2.128,-0.569,0.780,1.126,0.155,0.78,0.00,0.00,0.000,1
CSV_TRACK,0,-0.905,2.136,0.672,0.390,0.629,0.082,0.71,0.00,0.00,0.000,1
CSV_TRACK,1,-0.725,2.184,-0.640,0.692,1.089,-0.026,0.77,0.00,0.00,0.000,1
CSV_TRACK,0,-0.910,2.208,0.658,0.299,0.619,0.029,0.66,0.00,0.00,0.000,1
CSV_TRACK,1,-0.703,2.217,-0.697,0.624,1.000,-0.147,0.76,0.00,0.00,0.000,1
CSV_TRACK,0,-0.915,2.272,0.642,0.221,0.588,-0.026,0.64,0.00,0.00,0.000,1
CSV_TRACK,1,-0.668,2.222,-0.696,0.589,0.794,-0.112,0.74,53.57,10.04,0.018,1
CSV_TRACK,0,-0.922,2.318,0.628,0.150,0.536,-0.069,0.63,0.00,0.00,0.000,0
CSV_TRACK,1,-0.641,2.194,-0.691,0.543,0.558,-0.077,0.72,0.00,0.00,0.000,1
CSV_TRACK,0,-0.893,2.376,0.624,0.133,0.514,-0.092,0.63,0.00,0.00,0.000,1
CSV_TRACK,1,-0.625,2.218,-0.752,0.500,0.465,-0.164,0.74,0.00,0.00,0.000,1
CSV_TRACK,0,-0.783,2.453,0.595,0.224,0.518,-0.145,0.66,0.00,0.00,0.000,1
CSV_TRACK,1,-0.604,2.267,-0.776,0.469,0.453,-0.182,0.76,0.00,0.00,0.000,1
CSV_TRACK,0,-0.684,2.494,0.557,0.291,0.482,-0.203,0.67,0.00,0.00,0.000,1
CSV_TRACK,1,-0.615,2.318,-0.805,0.392,0.452,-0.209,0.75,0.00,0.00,0.000,1
CSV_TRACK,0,-0.643,2.535,0.519,0.285,0.446,-0.256,0.70,0.00,0.00,0.000,0
CSV_TRACK,1,-0.523,2.352,-0.820,0.478,0.411,-0.206,0.77,0.00,0.00,0.000,1
CSV_TRACK,0,-0.605,2.617,0.476,0.274,0.471,-0.307,0.71,0.00,0.00,0.000,1
CSV_TRACK,1,-0.431,2.383,-0.834,0.554,0.379,-0.205,0.79,0.00,0.00,0.000,1
CSV_TRACK,0,-0.527,2.679,0.488,0.315,0.468,-0.287,0.74,0.00,0.00,0.000,1
CSV_TRACK,1,-0.370,2.408,-0.848,0.576,0.341,-0.202,0.81,0.00,0.00,0.000,1
CSV_TRACK,0,-0.468,2.752,0.413,0.332,0.478,-0.372,0.72,0.00,0.00,0.000,1
CSV_TRACK,1,-0.312,2.449,-0.872,0.594,0.337,-0.216,0.81,0.00,0.00,0.000,1
CSV_TRACK,0,-0.389,2.850,0.346,0.369,0.531,-0.438,0.74,0.00,0.00,0.000,1
CSV_TRACK,1,-0.258,2.481,-0.893,0.603,0.317,-0.222,0.81,0.00,0.00,0.000,1
CSV_TRACK,0,-0.318,2.924,0.311,0.395,0.557,-0.460,0.77,0.00,0.00,0.000,1
CSV_TRACK,1,-0.197,2.511,-0.915,0.620,0.297,-0.229,0.80,0.00,0.00,0.000,1
CSV_TRACK,0,-0.226,3.018,0.258,0.445,0.604,-0.500,0.78,0.00,0.00,0.000,1
CSV_TRACK,1,-0.135,2.541,-0.938,0.620,0.297,-0.229,0.80,50.22,6.70,0.036,1
CSV_TRACK,0,-0.159,3.083,0.218,0.463,0.614,-0.522,0.78,0.00,0.00,0.000,1
CSV_TRACK,1,-0.073,2.571,-0.961,0.620,0.297,-0.229,0.80,0.00,0.00,0.000,0
CSV_TRACK,0,-0.120,3.148,0.189,0.449,0.618,-0.526,0.80,0.00,0.00,0.000,1
CSV_TRACK,1,-0.011,2.601,-0.984,0.620,0.297,-0.229,0.80,0.00,0.00,0.000,1
CSV_TRACK,0,-0.057,3.198,0.192,0.464,0.590,-0.490,0.82,0.00,0.00,0.000,1
CSV_TRACK,1,0.051,2.630,-1.007,0.620,0.297,-0.229,0.79,0.00,0.00,0.000,0
CSV_TRACK,0,-0.016,3.260,0.210,0.453,0.600,-0.437,0.84,0.00,0.00,0.000,1
CSV_TRACK,1,0.113,2.660,-1.030,0.620,0.297,-0.229,0.78,0.00,0.00,0.000,0
CSV_TRACK,0,0.002,3.305,0.195,0.414,0.575,-0.423,0.85,0.00,0.00,0.000,0
CSV_TRACK,1,0.174,2.690,-1.053,0.620,0.297,-0.229,0.78,0.00,0.00,0.000,1
CSV_TRACK,0,0.021,3.360,0.161,0.380,0.564,-0.432,0.87,0.00,0.00,0.000,1
CSV_TRACK,1,0.236,2.719,-1.076,0.620,0.297,-0.229,0.78,0.00,0.00,0.000,1
CSV_TRACK,0,0.032,3.406,0.104,0.339,0.544,-0.468,0.87,0.00,0.00,0.000,1
CSV_TRACK,1,0.298,2.749,-1.099,0.620,0.297,-0.229,0.78,0.00,0.00,0.000,0
CSV_TRACK,0,0.015,3.432,0.114,0.265,0.495,-0.417,0.89,0.00,0.00,0.000,1
CSV_TRACK,1,0.360,2.779,-1.122,0.620,0.297,-0.229,0.77,0.00,0.00,0.000,1
CSV_TRACK,0,0.043,3.481,0.072,0.253,0.486,-0.433,0.90,0.00,0.00,0.000,1
CSV_TRACK,1,0.422,2.808,-1.144,0.620,0.297,-0.229,0.76,0.00,0.00,0.000,0
CSV_TRACK,0,0.006,3.496,0.071,0.164,0.419,-0.398,0.90,0.00,0.00,0.000,1
CSV_TRACK,1,0.484,2.838,-1.167,0.620,0.297,-0.229,0.75,0.00,0.00,0.000,0
CSV_TRACK,0,0.006,3.539,0.031,0.127,0.407,-0.411,0.88,0.00,0.00,0.000,1
CSV_TRACK,1,0.546,2.868,-1.190,0.620,0.297,-0.229,0.75,50.22,6.70,0.039,0
CSV_TRACK,0,-0.002,3.577,-0.008,0.084,0.391,-0.422,0.87,0.00,0.00,0.000,0
CSV_TRACK,1,0.608,2.898,-1.213,0.620,0.297,-0.229,0.74,0.00,0.00,0.000,1
CSV_TRACK,0,-0.041,3.599,-0.069,0.010,0.355,-0.455,0.84,0.00,0.00,0.000,0
CSV_TRACK,1,0.670,2.927,-1.236,0.620,0.297,-0.229,0.74,0.00,0.00,0.000,0
CSV_TRACK,0,-0.036,3.633,-0.117,-0.008,0.338,-0.472,0.84,0.00,0.00,0.000,1
CSV_TRACK,1,0.732,2.957,-1.259,0.620,0.297,-0.229,0.73,0.00,0.00,0.000,0
CSV_TRACK,0,-0.029,3.659,-0.160,-0.023,0.313,-0.480,0.84,0.00,0.00,0.000,1
CSV_TRACK,1,0.794,2.987,-1.282,0.620,0.297,-0.229,0.72,0.00,0.00,0.000,0
CSV_TRACK,0,-0.098,3.618,-0.064,-0.115,0.212,-0.344,0.85,0.00,0.00,0.000,0
CSV_TRACK,1,0.856,3.016,-1.305,0.620,0.297,-0.229,0.72,0.00,0.00,0.000,0
CSV_TRACK,0,-0.126,3.568,0.024,-0.159,0.102,-0.224,0.87,0.00,0.00,0.000,1
CSV_TRACK,1,0.918,3.046,-1.328,0.620,0.297,-0.229,0.71,0.00,0.00,0.000,0
CSV_TRACK,0,-0.224,3.505,0.195,-0.267,0.007,-0.031,0.88,0.00,0.00,0.000,1
CSV_TRACK,1,0.980,3.076,-1.351,0.620,0.297,-0.229,0.70,0.00,0.00,0.000,0
CSV_TRACK,0,-0.275,3.475,0.295,-0.321,-0.060,0.081,0.88,0.00,0.00,0.000,1
CSV_TRACK,1,1.042,3.105,-1.374,0.620,0.297,-0.229,0.70,0.00,0.00,0.000,0
CSV_TRACK,0,-0.296,3.431,0.269,-0.341,-0.147,0.060,0.89,0.00,0.00,0.000,1
CSV_TRACK,1,1.104,3.135,-1.397,0.620,0.297,-0.229,0.69,0.00,0.00,0.000,0
CSV_TRACK,0,-0.309,3.389,0.281,-0.350,-0.222,0.078,0.90,0.00,0.00,0.000,1
CSV_TRACK,1,1.166,3.165,-1.420,0.620,0.297,-0.229,0.69,0.00,0.00,0.000,0
CSV_TRACK,0,-0.330,3.353,0.335,-0.364,-0.281,0.138,0.91,0.00,0.00,0.000,1
